"","boruta_abbs_allcontaminants_survfit$finalDecision"
"Prevotella","Rejected"
"Propionimicrobium","Rejected"
"Streptococcus","Rejected"
"Lactobacillus","Rejected"
"Sneathia","Rejected"
"Corynebacterium","Rejected"
"Campylobacter_B","Rejected"
"Fusobacterium","Rejected"
"Porphyromonas_A","Rejected"
"Ezakiella","Rejected"
"Fenollaria","Rejected"
"Enterococcus","Rejected"
"Veillonella","Rejected"
"Finegoldia","Rejected"
"Anaerococcus","Rejected"
"Haemophilus_D","Rejected"
"Pauljensenia","Rejected"
"Proteus","Rejected"
"Peptoniphilus_A","Rejected"
"Actinobaculum","Rejected"
"Acinetobacter","Rejected"
"Winkia","Confirmed"
"Mobiluncus","Rejected"
"Cutibacterium","Rejected"
"Actinotignum","Rejected"
"Ureaplasma","Rejected"
