in-house-id,contamination,Control_Sample
105-1,FALSE,Sample
112-1,FALSE,Sample
112-6,FALSE,Sample
116-7,FALSE,Sample
118-6,FALSE,Sample
119-6,FALSE,Sample
120-1,FALSE,Sample
121-7,FALSE,Sample
122-3,FALSE,Sample
122-4,FALSE,Sample
124-1,FALSE,Sample
127-6,FALSE,Sample
128-3,FALSE,Sample
129-4,FALSE,Sample
132-1,FALSE,Sample
133-4,FALSE,Sample
134-5,FALSE,Sample
134-7,FALSE,Sample
135-5,FALSE,Sample
139-6,FALSE,Sample
140-1,FALSE,Sample
140-6,FALSE,Sample
141-7,FALSE,Sample
142-1,FALSE,Sample
142-4,FALSE,Sample
142-6,FALSE,Sample
144-2,FALSE,Sample
145-1,FALSE,Sample
145-3,FALSE,Sample
147-1,FALSE,Sample
147-2,FALSE,Sample
147-3,FALSE,Sample
150-4,FALSE,Sample
150-5,FALSE,Sample
151-6,FALSE,Sample
152-5,FALSE,Sample
154-4,FALSE,Sample
156-1,FALSE,Sample
156-5,FALSE,Sample
159-5,FALSE,Sample
159-7,FALSE,Sample
159-8,FALSE,Sample
160-3,FALSE,Sample
165-3,FALSE,Sample
165-6,FALSE,Sample
167-5,FALSE,Sample
167-6,FALSE,Sample
167-7,FALSE,Sample
168-8,FALSE,Sample
172-3,FALSE,Sample
173-2,FALSE,Sample
173-4,FALSE,Sample
175-2,FALSE,Sample
175-4,FALSE,Sample
177-2,FALSE,Sample
177-6,FALSE,Sample
184-5,FALSE,Sample
185-6,FALSE,Sample
186-1,FALSE,Sample
209-1,FALSE,Sample
209-4,FALSE,Sample
216-3,FALSE,Sample
219-1,FALSE,Sample
219-6,FALSE,Sample
223-3,FALSE,Sample
224-1,FALSE,Sample
227-3,FALSE,Sample
235-1,FALSE,Sample
236-10,FALSE,Sample
237-1,FALSE,Sample
237-4,FALSE,Sample
239-5,FALSE,Sample
239-6,FALSE,Sample
241-1,FALSE,Sample
241-2,FALSE,Sample
241-4,FALSE,Sample
241-5,FALSE,Sample
245-2,FALSE,Sample
245-4,FALSE,Sample
245-5,FALSE,Sample
249-3,FALSE,Sample
249-4,FALSE,Sample
249-7,FALSE,Sample
251-2,FALSE,Sample
251-3,FALSE,Sample
251-4,FALSE,Sample
251-7,FALSE,Sample
259-4,FALSE,Sample
260-6,FALSE,Sample
BLANK-1,TRUE,Control
BLANK-2,TRUE,Control
BLANKB6,TRUE,Control
BLANKC6,TRUE,Control
BLANKD6,TRUE,Control
BLANKE6,TRUE,Control
BLANKF4,TRUE,Control
BLANKF5,TRUE,Control
BLANKF6,TRUE,Control
BLANKG6,TRUE,Control
BLANKH6,TRUE,Control
NTC-1,TRUE,Control
NTC-2,TRUE,Control
NTC-3,TRUE,Control
NTC-4,TRUE,Control
