"","scr_inner_iterations[[""Control""]][[""gamma""]]"
"ASV_1",0.000344711470241988
"ASV_2",0.000219501419773643
"ASV_3",0.000132623700578898
"ASV_4",0.000151695522015061
"ASV_5",0.00127683717420753
"ASV_6",0.000121142984761626
"ASV_7",0.000773228923252725
"ASV_8",0
"ASV_9",0.000267301844150887
"ASV_10",0
"ASV_11",0.000175341756242047
"ASV_12",0.000266954896841567
"ASV_13",0.000249349620640109
"ASV_14",0.0015247148357918
"ASV_15",0.000572672363133144
"ASV_16",0
"ASV_17",0.000202886602043929
"ASV_18",0.000145118302968365
"ASV_19",0.000302909388153222
"ASV_20",0.000237061363510206
"ASV_21",0.000716340468928956
"ASV_22",0.00194347520645499
"ASV_23",0
"ASV_24",0.000270951215079848
"ASV_25",0
"ASV_26",0.000243189198169297
"ASV_27",0
"ASV_28",0
"ASV_29",0
"ASV_30",0
"ASV_31",0
"ASV_32",6.88696144853555e-05
"ASV_33",0
"ASV_34",0.00143646246180623
"ASV_35",0
"ASV_36",0
"ASV_37",0.000400382108830204
"ASV_38",0.000336427813501373
"ASV_39",0.000451717897047131
"ASV_40",0.00175829214058689
"ASV_41",0
"ASV_42",0
"ASV_43",0
"ASV_44",0
"ASV_45",0
"ASV_46",0
"ASV_47",6.71088960066211e-05
"ASV_48",4.44473128516089e-05
"ASV_49",0
"ASV_50",0
"ASV_51",0
"ASV_52",0.000194336973673197
"ASV_53",0
"ASV_54",0
"ASV_55",0
"ASV_56",0
"ASV_57",0.000725221032457644
"ASV_58",0
"ASV_59",0
"ASV_60",0
"ASV_61",0
"ASV_62",0.00141008694942231
"ASV_63",0.000259180476676318
"ASV_64",0
"ASV_65",0
"ASV_66",0
"ASV_67",0
"ASV_68",0
"ASV_69",0.000814156634451753
"ASV_70",0
"ASV_71",0
"ASV_72",0
"ASV_73",0
"ASV_74",0
"ASV_75",0
"ASV_76",0.000293756179946305
"ASV_77",0
"ASV_78",0
"ASV_79",0
"ASV_80",0
"ASV_81",0
"ASV_82",0
"ASV_83",0.000241703375229443
"ASV_84",0
"ASV_85",0
"ASV_86",0.000115037947358107
"ASV_87",0.000225545009537456
"ASV_88",0
"ASV_89",0.000252840437264742
"ASV_90",0
"ASV_91",0
"ASV_92",0.000126527392358792
"ASV_93",0
"ASV_94",0
"ASV_95",0
"ASV_96",0.000657003839318089
"ASV_97",0
"ASV_98",0.000113746041781754
"ASV_99",0
"ASV_100",0
"ASV_101",0
"ASV_102",0
"ASV_103",0
"ASV_104",0.000914950251146945
"ASV_105",0
"ASV_106",0
"ASV_107",0
"ASV_108",0
"ASV_109",0
"ASV_110",0
"ASV_111",0
"ASV_112",0
"ASV_113",0
"ASV_114",0.000111311354563015
"ASV_115",0
"ASV_116",0.00027033097445847
"ASV_117",8.71200535440454e-05
"ASV_118",0
"ASV_119",0
"ASV_120",0
"ASV_121",0.000324095092370895
"ASV_122",0
"ASV_123",0.0001340847715135
"ASV_124",0
"ASV_125",0.00091141823326047
"ASV_126",0
"ASV_127",0
"ASV_128",0
"ASV_129",0
"ASV_130",0
"ASV_131",0
"ASV_132",0
"ASV_133",0
"ASV_134",0
